motor_1_path_rad, motor_2_path_rad, time_motor_1, time_motor_2
3.211405823669566, 4.293509959906051, 1586568571.611416, 1586568571.613459
3.263765701229397, 4.380776422505767, 1586568571.621532, 1586568571.623552
3.316125578789226, 4.450589592585541, 1586568571.630974, 1586568571.633293
3.368485456349056, 4.520402762665313, 1586568571.640835, 1586568571.642918
3.420845333908886, 4.590215932745087, 1586568571.650693, 1586568571.652741
3.490658503988659, 4.677482395344803, 1586568571.661613, 1586568571.663629
3.543018381548489, 4.747295565424577, 1586568571.671707, 1586568571.673713
3.595378259108319, 4.817108735504349, 1586568571.681429, 1586568571.683454
3.647738136668149, 4.886921905584122, 1586568571.690874, 1586568571.69289
3.700098014227978, 4.956735075663896, 1586568571.700597, 1586568571.702578
3.769911184307752, 5.026548245743669, 1586568571.710817, 1586568571.713333
3.822271061867582, 5.113814708343385, 1586568571.720874, 1586568571.723396
3.874630939427412, 5.183627878423159, 1586568571.731586, 1586568571.733576
3.926990816987241, 5.253441048502932, 1586568571.741471, 1586568571.743487
3.979350694547071, 5.323254218582705, 1586568571.751319, 1586568571.753369
4.031710572106902, 5.393067388662478, 1586568571.761706, 1586568571.763715
4.084070449666731, 5.462880558742251, 1586568571.771389, 1586568571.773437
4.153883619746504, 5.550147021341968, 1586568571.780892, 1586568571.78332
4.206243497306335, 5.619960191421741, 1586568571.790976, 1586568571.79334
4.258603374866164, 5.689773361501514, 1586568571.800767, 1586568571.802767
4.310963252425994, 5.759586531581287, 1586568571.811786, 1586568571.81379
4.363323129985823, 5.846852994181003, 1586568571.82154, 1586568571.823559
4.415683007545653, 5.916666164260777, 1586568571.831461, 1586568571.833509
4.468042885105484, 5.986479334340551, 1586568571.840938, 1586568571.843297
4.537856055185257, 6.056292504420323, 1586568571.850909, 1586568571.852929
4.590215932745087, 6.14355896702004, 1586568571.861827, 1586568571.863815
4.642575810304916, 6.213372137099814, 1586568571.871728, 1586568571.873756
4.694935687864747, 6.283185307179586, 1586568571.881743, 1586568571.883786
4.747295565424577, 6.35299847725936, 1586568571.891607, 1586568571.893608
4.799655442984406, 6.422811647339132, 1586568571.901406, 1586568571.903439
4.869468613064179, 6.492624817418905, 1586568571.912144, 1586568571.914271
4.921828490624009, 6.597344572538566, 1586568571.922326, 1586568571.924488
4.991641660703783, 6.667157742618339, 1586568571.934875, 1586568571.937435
5.044001538263612, 6.754424205218056, 1586568571.944783, 1586568571.946714
5.096361415823442, 6.824237375297828, 1586568571.954615, 1586568571.956569
5.166174585903216, 6.894050545377602, 1586568571.964784, 1586568571.966704
5.201081170943102, 6.963863715457374, 1586568571.974696, 1586568571.976653
5.270894341022875, 7.033676885537147, 1586568571.983771, 1586568571.986002
5.305800926062761, 7.103490055616922, 1586568571.99327, 1586568571.995464
5.358160803622591, 7.173303225696695, 1586568572.00278, 1586568572.00501
5.410520681182422, 7.243116395776467, 1586568572.013834, 1586568572.016019
5.462880558742251, 7.312929565856241, 1586568572.023299, 1586568572.025482
5.515240436302081, 7.400196028455957, 1586568572.032645, 1586568572.03482
5.585053606381854, 7.47000919853573, 1586568572.042504, 1586568572.044639
5.637413483941685, 7.539822368615503, 1586568572.052478, 1586568572.054622
5.689773361501514, 7.609635538695276, 1586568572.06351, 1586568572.065742
5.742133239061344, 7.67944870877505, 1586568572.072885, 1586568572.075355
5.794493116621174, 7.749261878854823, 1586568572.082597, 1586568572.084755
5.846852994181003, 7.83652834145454, 1586568572.092726, 1586568572.094956
5.899212871740834, 7.906341511534313, 1586568572.102563, 1586568572.104761
5.969026041820607, 7.976154681614086, 1586568572.113579, 1586568572.115801
6.021385919380437, 8.04596785169386, 1586568572.122929, 1586568572.125448
6.073745796940266, 8.115781021773632, 1586568572.132828, 1586568572.135377
6.126105674500097, 8.203047484373348, 1586568572.142633, 1586568572.144863
6.178465552059927, 8.272860654453122, 1586568572.152688, 1586568572.155951
6.230825429619756, 8.342673824532895, 1586568572.16419, 1586568572.166286
6.300638599699529, 8.429940287132611, 1586568572.173379, 1586568572.175629
6.35299847725936, 8.482300164692441, 1586568572.182884, 1586568572.185344
6.40535835481919, 8.552113334772214, 1586568572.192551, 1586568572.194733
6.457718232379019, 8.639379797371932, 1586568572.202503, 1586568572.204676
6.510078109938849, 8.709192967451704, 1586568572.213633, 1586568572.215909
6.562437987498679, 8.779006137531477, 1586568572.223309, 1586568572.225486
6.632251157578453, 8.848819307611251, 1586568572.232604, 1586568572.234788
6.684611035138281, 8.918632477691023, 1586568572.242508, 1586568572.244637
6.736970912698112, 9.00589894029074, 1586568572.252497, 1586568572.254626
6.789330790257942, 9.075712110370514, 1586568572.262478, 1586568572.265853
6.841690667817772, 9.145525280450288, 1586568572.272945, 1586568572.27543
6.894050545377602, 9.21533845053006, 1586568572.282648, 1586568572.284845
6.946410422937432, 9.302604913129775, 1586568572.292586, 1586568572.294769
7.016223593017205, 9.372418083209549, 1586568572.302539, 1586568572.304672
7.068583470577034, 9.442231253289323, 1586568572.312539, 1586568572.31576
7.120943348136864, 9.512044423369096, 1586568572.322883, 1586568572.325386
7.173303225696695, 9.599310885968812, 1586568572.336447, 1586568572.339865
7.243116395776467, 9.704030641088472, 1586568572.346537, 1586568572.34999
7.312929565856241, 9.773843811168245, 1586568572.356673, 1586568572.360253
7.365289443416071, 9.861110273767961, 1586568572.368971, 1586568572.370906
7.435102613495844, 9.930923443847735, 1586568572.379476, 1586568572.381633
7.487462491055674, 10.00073661392751, 1586568572.389628, 1586568572.391518
7.539822368615503, 10.08800307652723, 1586568572.399397, 1586568572.400988
7.609635538695276, 10.157816246607, 1586568572.408922, 1586568572.410823
7.661995416255106, 10.22762941668677, 1586568572.420063, 1586568572.422147
7.731808586334879, 10.31489587928649, 1586568572.429853, 1586568572.431727
7.766715171374766, 10.36725575684632, 1586568572.439522, 1586568572.44143
7.819075048934597, 10.43706892692609, 1586568572.449502, 1586568572.451384
7.888888219014369, 10.52433538952581, 1586568572.459443, 1586568572.461032
7.941248096574199, 10.59414855960558, 1586568572.470198, 1586568572.472196
7.993607974134028, 10.6814150222053, 1586568572.47978, 1586568572.481683
8.04596785169386, 10.73377489976513, 1586568572.489547, 1586568572.491415
8.09832772925369, 10.82104136236484, 1586568572.499293, 1586568572.500933
8.150687606813518, 10.89085453244462, 1586568572.50952, 1586568572.511412
8.220500776893292, 10.96066770252439, 1586568572.520085, 1586568572.522113
8.272860654453122, 11.03048087260416, 1586568572.529679, 1586568572.531563
8.325220532012953, 11.10029404268394, 1586568572.53953, 1586568572.54151
8.377580409572781, 11.18756050528365, 1586568572.549396, 1586568572.551476
8.429940287132611, 11.25737367536342, 1586568572.559359, 1586568572.56097
8.482300164692441, 11.3271868454432, 1586568572.570106, 1586568572.572142
8.534660042252272, 11.41445330804292, 1586568572.579811, 1586568572.581689
8.587019919812102, 11.46681318560275, 1586568572.589673, 1586568572.591542
8.656833089891874, 11.55407964820246, 1586568572.599507, 1586568572.601355
8.709192967451704, 11.62389281828224, 1586568572.608914, 1586568572.610779
8.761552845011535, 11.69370598836201, 1586568572.618294, 1586568572.621788
8.796459430051421, 11.76351915844178, 1586568572.629884, 1586568572.631743
8.866272600131195, 11.83333232852155, 1586568572.639614, 1586568572.641534
8.918632477691023, 11.90314549860133, 1586568572.649387, 1586568572.650974
8.970992355250853, 11.99041196120104, 1586568572.658902, 1586568572.660768
9.040805525330626, 12.06022513128082, 1586568572.668268, 1586568572.671633
9.075712110370514, 12.13003830136059, 1586568572.679585, 1586568572.681618
9.145525280450288, 12.21730476396031, 1586568572.689626, 1586568572.691498
9.197885158010116, 12.28711793404008, 1586568572.699419, 1586568572.700993
9.250245035569947, 12.35693110411985, 1586568572.708927, 1586568572.710792
9.302604913129775, 12.42674427419963, 1586568572.718878, 1586568572.720748
9.354964790689605, 12.4965574442794, 1586568572.733455, 1586568572.73571
9.442231253289323, 12.60127719939906, 1586568572.742737, 1586568572.744943
9.494591130849154, 12.68854366199878, 1586568572.752651, 1586568572.754779
9.546951008408982, 12.75835683207855, 1586568572.762535, 1586568572.764677
9.599310885968812, 12.82817000215832, 1586568572.773617, 1586568572.775831
9.669124056048586, 12.8979831722381, 1586568572.782894, 1586568572.785334
9.721483933608416, 12.98524963483781, 1586568572.792663, 1586568572.794843
9.773843811168245, 13.05506280491759, 1586568572.802542, 1586568572.804663
9.826203688728075, 13.12487597499736, 1586568572.812541, 1586568572.814787
9.878563566287905, 13.19468914507713, 1586568572.823611, 1586568572.825861
9.930923443847735, 13.26450231515691, 1586568572.832883, 1586568572.835346
9.983283321407566, 13.33431548523668, 1586568572.842558, 1586568572.844726
10.05309649148734, 13.40412865531645, 1586568572.852622, 1586568572.85477
10.10545636904717, 13.49139511791617, 1586568572.862574, 1586568572.86472
10.157816246607, 13.56120828799594, 1586568572.872518, 1586568572.87588
10.21017612416683, 13.63102145807572, 1586568572.882884, 1586568572.885416
10.26253600172666, 13.70083462815549, 1586568572.892621, 1586568572.894757
10.31489587928649, 13.77064779823526, 1586568572.902663, 1586568572.904907
10.36725575684632, 13.85791426083498, 1586568572.912565, 1586568572.914705
10.43706892692609, 13.92772743091475, 1586568572.922491, 1586568572.925719
10.48942880448592, 13.99754060099452, 1586568572.932827, 1586568572.935336
10.54178868204575, 14.0673537710743, 1586568572.942649, 1586568572.94496
10.59414855960558, 14.13716694115407, 1586568572.952581, 1586568572.954757
10.64650843716541, 14.20698011123384, 1586568572.96252, 1586568572.964756
10.71632160724518, 14.29424657383356, 1586568572.97252, 1586568572.974708
10.76868148480501, 14.36405974391333, 1586568572.982929, 1586568572.985387
10.82104136236484, 14.4338729139931, 1586568572.992782, 1586568572.995011
10.87340123992467, 14.50368608407288, 1586568573.002545, 1586568573.004694
10.9257611174845, 14.57349925415265, 1586568573.012463, 1586568573.014614
10.97812099504433, 14.66076571675237, 1586568573.02244, 1586568573.024623
11.03048087260416, 14.73057888683214, 1586568573.032657, 1586568573.034852
11.10029404268394, 14.80039205691192, 1586568573.042547, 1586568573.044671
11.15265392024376, 14.87020522699169, 1586568573.052542, 1586568573.054663
11.2050137978036, 14.94001839707146, 1586568573.062445, 1586568573.064593
11.25737367536342, 15.00983156715123, 1586568573.072435, 1586568573.074692
11.30973355292326, 15.07964473723101, 1586568573.082885, 1586568573.085374
11.36209343048309, 15.16691119983073, 1586568573.092566, 1586568573.094725
11.41445330804292, 15.2367243699105, 1586568573.10253, 1586568573.104675
11.48426647812269, 15.30653753999027, 1586568573.112647, 1586568573.114834
11.53662635568252, 15.39380400258999, 1586568573.12262, 1586568573.12483
11.58898623324235, 15.46361717266976, 1586568573.138223, 1586568573.14058
11.65879940332212, 15.56833692778942, 1586568573.148259, 1586568573.150598
11.71115928088195, 15.65560339038914, 1586568573.159887, 1586568573.16177
11.78097245096173, 15.72541656046891, 1586568573.169926, 1586568573.171792
11.83333232852155, 15.79522973054868, 1586568573.179655, 1586568573.182466
11.88569220608138, 15.8824961931484, 1586568573.190448, 1586568573.19246
11.95550537616116, 15.95230936322817, 1586568573.200266, 1586568573.202283
12.00786525372099, 16.03957582582789, 1586568573.210099, 1586568573.212062
